Company,Ticker,Sector
"Nishimatsu Construction Co., Ltd",1820.T,Industrials
"The Hiroshima Bank, Ltd",8379.T,Financials
"Fukuyama Transporting Co., Ltd",9075.T,Industrials
NIPPON REIT Investment Corporation,3296.T,Real Estate
Mitani Corporation,8066.T,Industrials
Jtower Inc,4485.T,Industrials
"mixi, Inc",2121.T,Communication Services
"Kandenko Co., Ltd",1942.T,Industrials
Parco Co. Ltd,8251.T,Consumer Discretionary
Mitsubishi Estate Logistics REIT Investment Corporation,3481.T,Real Estate
Nipro Corporation,8086.T,Health Care
"H.I.S. Co., Ltd",9603.T,Consumer Discretionary
"kabu.com Securities Co., Ltd",8703.T,Financials
Aiful Corporation,8515.T,Financials
"The Iyo Bank, Ltd",8385.T,Financials
"Daiwabo Holdings Co., Ltd",3107.T,Information Technology
"JAFCO Co., Ltd",8595.T,Financials
"Noevir Holdings Co., Ltd",4928.T,Consumer Staples
"Japan Excellent, Inc",8987.T,Real Estate
Bic Camera Inc,3048.T,Consumer Discretionary
"Mitsui Mining & Smelting Co., Ltd",5706.T,Materials
TV Asahi Holdings Corporation,9409.T,Communication Services
Fujikura Ltd,5803.T,Industrials
Trusco Nakayama Corporation,9830.T,Industrials
"Tokyu REIT, Inc",8957.T,Real Estate
LINTEC Corporation,7966.T,Materials
Fuji Soft Incorporated,9749.T,Information Technology
"Kyushu Financial Group, Inc",7180.T,Financials
Daibiru Corporation,8806.T,Real Estate
SHOWA Corporation,7274.T,Consumer Discretionary
"Fuso Chemical Co.,Ltd",4368.T,Materials
"Gree, Inc",3632.T,Communication Services
TKC Corporation,9746.T,Information Technology
"Aeon Delight Co., Ltd",9787.T,Industrials
"Tokyo Seimitsu Co., Ltd",7729.T,Information Technology
"IBJ Leasing Company, Limited",8425.T,Financials
OSG Corporation,6136.T,Industrials
"MAEDA ROAD CONSTRUCTION Co., Ltd",1883.T,Industrials
"Furukawa Electric Co., Ltd",5801.T,Industrials
create restaurants holdings inc,3387.T,Consumer Discretionary
Ichigo Inc,2337.T,Real Estate
Meitec Corporation,9744.T,Industrials
"Asahi Holdings, Inc",5857.T,Materials
Nichias Corporation,5393.T,Industrials
"Sankyo Co., Ltd",6417.T,Consumer Discretionary
"Heiwa Real Estate REIT, Inc",8966.T,Real Estate
Maeda Corporation,1824.T,Industrials
Life Corporation,8194.T,Consumer Staples
"Nippon Gas Co., Ltd",8174.T,Utilities
Okuma Corporation,6103.T,Industrials
"Monex Group, Inc",8698.T,Financials
Kenedix Retail REIT Corporation,3453.T,Real Estate
"Shochiku Co., Ltd",9601.T,Communication Services
Oisix ra daichi Inc,3182.T,Consumer Discretionary
"Kaken Pharmaceutical Co., Ltd",4521.T,Health Care
"Yamaguchi Financial Group, Inc",8418.T,Financials
ASKUL Corporation,2678.T,Consumer Discretionary
"Kyoritsu Maintenance Co., Ltd",9616.T,Consumer Discretionary
"DCM Holdings Co., Ltd",3050.T,Consumer Discretionary
JINS Inc,3046.T,Consumer Discretionary
Nippon Steel & Sumikin Bussan Corporation,9810.T,Industrials
"Kenedix, Inc",4321.T,Real Estate
"Toagosei Co., Ltd",4045.T,Materials
"Towa Pharmaceutical Co., Ltd",4553.T,Health Care
"BML, Inc",4694.T,Health Care
"Hoshino Resorts REIT, Inc",3287.T,Real Estate
"SBS Holdings, Inc",2384.T,Industrials
"Elecom Co., Ltd",6750.T,Information Technology
Raksul Inc,4384.T,Industrials
Miraca Holdings Inc,4544.T,Health Care
Aeon Hokkaido Corporation,7512.T,Consumer Staples
Change Inc,3962.T,Information Technology
"The Chugoku Bank, Limited",8382.T,Financials
Rorze Corp,6323.T,Information Technology
Sosei Group Corporation,4565.T,Health Care
Fujimi Incorporated,5384.T,Materials
"Citizen Watch Co., Ltd",7762.T,Information Technology
"The Gunma Bank, Ltd",8334.T,Financials
"Shikoku Electric Power Company, Incorporated",9507.T,Utilities
Pilot Corporation,7846.T,Industrials
"NEXTAGE Co., Ltd",3186.T,Consumer Discretionary
"Macnica Fuji Electronics Holdings, Inc",3132.T,Information Technology
Sakata Seed Corporation,1377.T,Consumer Staples
Tokuyama Corporation,4043.T,Materials
"Taiyo Holdings Co., Ltd",4626.T,Materials
"NSD Co., Ltd",9759.T,Information Technology
Okamura Corporation,7994.T,Industrials
"Takasago Thermal Engineering Co., Ltd",1969.T,Industrials
"Tokai Rika Co., Ltd",6995.T,Consumer Discretionary
"Megmilk Snow Brand Co., Ltd",2270.T,Consumer Staples
"ValueCommerce Co., Ltd",2491.T,Communication Services
"Inaba Denki Sangyo Co.,Ltd",9934.T,Industrials
"The Sumitomo Warehouse Co., Ltd",9303.T,Industrials
transcosmos inc,9715.T,Information Technology
"eREX Co.,Ltd",9517.T,Utilities
Earth Corporation,4985.T,Consumer Staples
Nisshinbo Holdings Inc,3105.T,Industrials
"Nissin Kogyo Co., Ltd",7230.T,Consumer Discretionary
"Japan Aviation Electronics Industry, Limited",6807.T,Information Technology
Funai Soken Holdings Incorporated,9757.T,Industrials
ATOM Corporation,7412.T,Consumer Discretionary
"Fukuda Denshi Co., Ltd",6960.T,Health Care
"Ichibanya Co., Ltd",7630.T,Consumer Discretionary
"SENKO Group Holdings Co., Ltd",9069.T,Industrials
"Nikkon Holdings Co., Ltd",9072.T,Industrials
Kura Corporation,2695.T,Consumer Discretionary
Glory Ltd,6457.T,Industrials
Wacoal Holdings Corp,3591.T,Consumer Discretionary
Tadano Ltd,6395.T,Industrials
Hazama Ando Corporation,1719.T,Industrials
"JAPAN MATERIAL Co., Ltd",6055.T,Information Technology
Nojima Corporation,7419.T,Consumer Discretionary
Hitachi Zosen Corporation,7004.T,Industrials
"Nippon Paper Industries Co., Ltd",3863.T,Materials
Kureha Corporation,4023.T,Materials
CKD Corporation,6407.T,Industrials
"Clarion Co., Ltd",6796.T,Consumer Discretionary
Okinawa Cellular Telephone Company,9436.T,Communication Services
"Nissin Electric Co.,Ltd",6641.T,Industrials
"Mitani Sekisan Co., Ltd",5273.T,Materials
"Prima Meat Packers, Ltd",2281.T,Consumer Staples
"UT Group Co., Ltd",2146.T,Industrials
Maruha Nichiro Corporation,1333.T,Consumer Staples
"Yoshinoya Holdings Co., Ltd",9861.T,Consumer Discretionary
UACJ Corporation,5741.T,Materials
NTN Corporation,6472.T,Industrials
Ichigo Office REIT Investment Corporation,8975.T,Real Estate
"GungHo Online Entertainment, Inc",3765.T,Communication Services
Starts Corporation Inc,8850.T,Real Estate
"Hanwa Co., Ltd",8078.T,Industrials
Fukuoka REIT Corporation,8968.T,Real Estate
United Super Markets Holdings Inc,3222.T,Consumer Staples
"Bengo4.com, Inc",6027.T,Communication Services
"Saizeriya Co.,Ltd",7581.T,Consumer Discretionary
"Fuji Seal International, Inc",7864.T,Materials
"Kumagai Gumi Co.,Ltd",1861.T,Industrials
"Duskin Co., Ltd",4665.T,Industrials
SKY Perfect JSAT Holdings Inc,9412.T,Communication Services
"Komeri Co.,Ltd",8218.T,Consumer Discretionary
"Heiwa Real Estate Co., Ltd",8803.T,Real Estate
Solasto Corporation,6197.T,Health Care
"Sanken Electric Co., Ltd",6707.T,Information Technology
"Nihon Parkerizing Co., Ltd",4095.T,Materials
"Nitto Boseki Co., Ltd",3110.T,Industrials
"Musashi Seimitsu Industry Co., Ltd",7220.T,Consumer Discretionary
"Japan Petroleum Exploration Co., Ltd",1662.T,Energy
Round One Corporation,4680.T,Consumer Discretionary
"SAN-A CO.,LTD",2659.T,Consumer Staples
"Maruwa Co., Ltd",5344.T,Information Technology
"Valor Holdings Co., Ltd",9956.T,Consumer Staples
"Takeuchi Mfg. Co., Ltd",6432.T,Industrials
Pasona Group Inc,2168.T,Industrials
"Tokyo Steel Manufacturing Co., Ltd",5423.T,Materials
"APLUS FINANCIAL Co., Ltd",8589.T,Financials
"Colowide Co.,Ltd",7616.T,Consumer Discretionary
Infocom Corporation,4348.T,Information Technology
Pressance Corporation,3254.T,Consumer Discretionary
Dexerials Corporation,4980.T,Information Technology
"Mitsubishi Shokuhin Co., Ltd",7451.T,Consumer Staples
Token Corporation,1766.T,Consumer Discretionary
"Toho Holdings Co., Ltd",8129.T,Health Care
"Sumitomo Osaka Cement Co., Ltd",5232.T,Materials
"Nippon Flour Mills Co., Ltd",2001.T,Consumer Staples
"Shoei Co., Ltd",7839.T,Consumer Discretionary
"Digital Arts, Inc",2326.T,Information Technology
"Tokyotokeiba Co., Ltd",9672.T,Consumer Discretionary
ARCS Company Limited,9948.T,Consumer Staples
Chudenko Corporation,1941.T,Industrials
Trust Tech Inc,2154.T,Industrials
Pioneer Corporation,6773.T,Consumer Discretionary
"MCJ Co., Ltd",6670.T,Information Technology
Sanyo Chemical Industries Ltd,4471.T,Materials
Hokuriku Electric Power Company,9505.T,Utilities
"Mochida Pharmaceutical Co., Ltd",4534.T,Health Care
Hioki E.E. Corporation,6866.T,Information Technology
Tsubakimoto Chain Co,6371.T,Industrials
Hokuetsu Corporation,3865.T,Materials
Nohmi Bosai Ltd,6744.T,Information Technology
Giken Ltd,6289.T,Industrials
"Paramount Bed Holdings Co., Ltd",7817.T,Health Care
"Nippon Light Metal Holdings Company, Ltd",5703.T,Materials
"BELLSYSTEM24 Holdings, Inc",6183.T,Information Technology
Future Corporation,4722.T,Information Technology
"Toyobo Co., Ltd",3101.T,Materials
"Daishi Hokuetsu Financial Group,Inc",7327.T,Financials
Tokyo Dome Corporation,9681.T,Consumer Discretionary
Medley Inc,4480.T,Health Care
"Takuma Co., Ltd",6013.T,Industrials
"Autobacs Seven Co., Ltd",9832.T,Consumer Discretionary
"Itochu Enex Co.,Ltd",8133.T,Energy
Cre Logistics Reit Inc,3487.T,Real Estate
"Belc CO., LTD",9974.T,Consumer Staples
"Nippon Densetsu Kogyo Co., Ltd",1950.T,Industrials
TOKAI Holdings Corporation,3167.T,Industrials
"Hankyu Hanshin REIT, Inc",8977.T,Real Estate
"Mitsubishi Logisnext Co., Ltd",7105.T,Industrials
"NOMURA Co., Ltd",9716.T,Industrials
"Ricoh Leasing Company, Ltd",8566.T,Financials
"Kato Sangyo Co., Ltd",9869.T,Consumer Staples
"Wacom Co., Ltd",6727.T,Information Technology
T-Gaia Corporation,3738.T,Consumer Discretionary
"Seiren Co.,Ltd",3569.T,Consumer Discretionary
Kanematsu Corporation,8020.T,Industrials
Lixil Viva Corporation,3564.T,Consumer Discretionary
EDION Corporation,2730.T,Consumer Discretionary
Okumura Corporation,1833.T,Industrials
"Toyo Ink SC Holdings Co., Ltd",4634.T,Materials
DTS Corporation,9682.T,Information Technology
Toyo Gosei Ltd,4970.T,Materials
"Kohnan Shoji Co., Ltd",7516.T,Consumer Discretionary
Ferrotec Holdings Corporation,6890.T,Information Technology
"Toppan Forms Co., Ltd",7862.T,Industrials
"Hokuhoku Financial Group, Inc",8377.T,Financials
Ohsho Food Service Corp,9936.T,Consumer Discretionary
"Takara Standard Co.,Ltd",7981.T,Industrials
Link and Motivation Inc,2170.T,Industrials
Taikisha Ltd,1979.T,Industrials
"KH Neochem Co., Ltd",4189.T,Materials
Nichiha Corporation,7943.T,Industrials
H2O Retailing Corporation,8242.T,Consumer Discretionary
DAIHEN Corporation,6622.T,Industrials
"Alpen Co., Ltd",3028.T,Consumer Discretionary
"eGuarantee, Inc",8771.T,Financials
"Kissei Pharmaceutical Co., Ltd",4547.T,Health Care
"T. Hasegawa Co., Ltd",4958.T,Materials
Giftee Inc,4449.T,Communication Services
"MODEC, Inc",6269.T,Energy
JCU Corporation,4975.T,Materials
Global One Real Estate Investment Corp,8958.T,Real Estate
"NichiiGakkan Co., Ltd",9792.T,Health Care
"Joyful Honda Co., Ltd",3191.T,Consumer Discretionary
MEIDENSHA CORP,6508.T,Industrials
"Nissan Shatai Co., Ltd",7222.T,Consumer Discretionary
Optim Corp,3694.T,Information Technology
"Cybozu, Inc",4776.T,Information Technology
"Hokkaido Electric Power Company, Incorporated",9509.T,Utilities
Chiyoda Corporation,6366.T,Industrials
Kanematsu Electronics Ltd,8096.T,Information Technology
"Kumiai Chemical Industry Co., Ltd",4996.T,Materials
"JACCS Co., Ltd",8584.T,Financials
"COLOPL, Inc",3668.T,Communication Services
"Nishi-Nippon Financial Holdings, Inc",7189.T,Financials
"Heiwado Co., Ltd",8276.T,Consumer Staples
Zojirushi Corporation,7965.T,Consumer Discretionary
"Japan Lifeline Co., Ltd",7575.T,Health Care
Star Asia Investment Corporation,3468.T,Real Estate
"Iriso Electronics Co., Ltd",6908.T,Information Technology
"The Kiyo Bank, Ltd",8370.T,Financials
"Kintetsu Department Store Co., Ltd",8244.T,Consumer Discretionary
"Raito Kogyo Co., Ltd",1926.T,Industrials
Ai Holdings Corporation,3076.T,Information Technology
"Inabata & Co.,Ltd",8098.T,Industrials
Tri Chemical Laboratories Inc,4369.T,Information Technology
"KYORIN Holdings, Inc",4569.T,Health Care
"Tokai Tokyo Financial Holdings, Inc",8616.T,Financials
"Nippon Kanzai Co., Ltd",9728.T,Industrials
Suruga Bank Ltd,8358.T,Financials
"TOMY Company, Ltd",7867.T,Consumer Discretionary
Healios K.K,4593.T,Health Care
Sosila Logistics Reit Inc,2979.T,Real Estate
"San-Ai Oil Co.,Ltd",8097.T,Energy
"Maeda Kosen Co., Ltd",7821.T,Materials
Nachi-Fujikoshi Corp,6474.T,Industrials
Gmo Financial Holdings Inc Common Stock Jpy,7177.T,Financials
"Mos Food Services, Inc",8153.T,Consumer Discretionary
Prestige International Inc,4290.T,Industrials
"The Shiga Bank, Ltd",8366.T,Financials
"KOMEDA Holdings Co., Ltd",3543.T,Consumer Discretionary
"Sakai Moving Service Co.,Ltd",9039.T,Industrials
Yokogawa Bridge Holdings Corp,5911.T,Industrials
"Makino Milling Machine Co., Ltd",6135.T,Industrials
"Kanamoto Co.,Ltd",9678.T,Industrials
"Kameda Seika CO., Ltd",2220.T,Consumer Staples
"Sanyo Special Steel Co., Ltd",5481.T,Materials
"North Pacific Bank, Ltd",8524.T,Financials
Optorun Ltd,6235.T,Information Technology
"The Nisshin OilliO Group,Ltd",2602.T,Consumer Staples
Yamazen Corporation,8051.T,Industrials
"Nippon Soda Co., Ltd",4041.T,Materials
"Fullcast Holdings Co., Ltd",4848.T,Industrials
"Shizuoka Gas Co., Ltd",9543.T,Utilities
"Samty Co., Ltd",3244.T,Real Estate
Seiko Holdings Corporation,8050.T,Consumer Discretionary
"Showa Sangyo Co., Ltd",2004.T,Consumer Staples
"The 77 Bank, Ltd",8341.T,Financials
Fukushima Industries Corp,6420.T,Industrials
G-7 Holdings Inc,7508.T,Consumer Staples
S-Pool Inc,2471.T,Industrials
Zuken Inc,6947.T,Information Technology
Itochu Advance Logistics Investmen,3493.T,Real Estate
"Euglena Co., Ltd",2931.T,Consumer Staples
Maxvalu Tokai Ltd,8198.T,Consumer Staples
S Foods Inc,2292.T,Consumer Staples
"Daikokutenbussan Co.,Ltd",2791.T,Consumer Staples
Sangetsu Corporation,8130.T,Consumer Discretionary
Comture Corporation,3844.T,Information Technology
EIZO Corporation,6737.T,Information Technology
Insource Ltd,6200.T,Industrials
"Zeria Pharmaceutical Co., Ltd",4559.T,Health Care
CYBERDYNE Inc,7779.T,Health Care
"Globeride, Inc",7990.T,Consumer Discretionary
"NS United Kaiun Kaisha, Ltd",9110.T,Industrials
"Hogy Medical Co.,Ltd",3593.T,Health Care
"AnGes, Inc",4563.T,Health Care
"Royal Holdings Co., Ltd",8179.T,Consumer Discretionary
MIRAI Corporation,3476.T,Real Estate
Curves Holdings Ltd,7085.T,Consumer Discretionary
"The Awa Bank, Limited",8388.T,Financials
"JAC Recruitment Co., Ltd",2124.T,Industrials
The Monogatari Corporation,3097.T,Consumer Discretionary
Evolable Asia Corp,6191.T,Unknown
"The San-in Godo Bank,Ltd",8381.T,Financials
Yellow Hat Ltd,9882.T,Consumer Discretionary
IDOM Inc,7599.T,Consumer Discretionary
"Nishimatsuya Chain Co., Ltd",7545.T,Consumer Discretionary
"Fujimori Kogyo Co., Ltd",7917.T,Materials
"DyDo Group Holdings, Inc",2590.T,Consumer Staples
"Toho Titanium Co., Ltd",5727.T,Materials
"Adastria Co., Ltd",2685.T,Consumer Discretionary
"Totetsu Kogyo Co., Ltd",1835.T,Industrials
Sekisui Jushi Corporation,4212.T,Industrials
"Saibu Gas Co.,Ltd",9536.T,Utilities
"Nissha Co., Ltd",7915.T,Information Technology
Sato Holdings Corporation,6287.T,Industrials
"MATSUDA SANGYO Co., Ltd",7456.T,Industrials
"Ki-Star Real Estate Co.,Ltd",3465.T,Unknown
"The Hyakugo Bank, Ltd",8368.T,Financials
"Tokyu Construction Co., Ltd",1720.T,Industrials
"Central Glass Co., Ltd",4044.T,Industrials
Noritz Corporation,5943.T,Industrials
"Fukui Computer Holdings,Inc",9790.T,Information Technology
"Sanki Engineering Co., Ltd",1961.T,Industrials
"Mitsuuroko Group Holdings Co.,Ltd",8131.T,Energy
Axial Retailing Inc,8255.T,Consumer Staples
"Trancom Co., Ltd",9058.T,Industrials
"The Juroku Bank, Ltd",8356.T,Financials
"Torii Pharmaceutical Co., Ltd",4551.T,Health Care
"Max Co., Ltd",6454.T,Industrials
"Oki Electric Industry Co., Ltd",6703.T,Information Technology
Leopalace21 Corporation,8848.T,Real Estate
Arteria Networks Corp,4423.T,Communication Services
EXEDY Corporation,7278.T,Consumer Discretionary
OpenDoor Inc,3926.T,Consumer Discretionary
"The Ogaki Kyoritsu Bank, Ltd",8361.T,Financials
Shibuya Corporation,6340.T,Industrials
"F.C.C. Co., Ltd",7296.T,Consumer Discretionary
"Noritsu Koki Co., Ltd",7744.T,Industrials
"Uzabase, Inc",3966.T,Financials
GNI Group Ltd,2160.T,Health Care
"Belluna Co., Ltd",9997.T,Consumer Discretionary
Plenus Company Limited,9945.T,Consumer Discretionary
"Yumeshin Holdings Co.,Ltd",2362.T,Industrials
"Shin-Etsu Polymer Co.,Ltd",7970.T,Materials
"Sumitomo Mitsui Construction Co.,Ltd",1821.T,Industrials
"C. Uyemura & Co., Ltd",4966.T,Materials
"METAWATER Co., Ltd",9551.T,Industrials
"EPS Holdings, Inc",4282.T,Health Care
KYB Corporation,7242.T,Consumer Discretionary
"Strike Company,Limited",6196.T,Financials
"Kaga Electronics Co.,Ltd",8154.T,Information Technology
Riso Kagaku Corporation,6413.T,Information Technology
GENKY DRUGSTORES LTD,9267.T,Consumer Staples
"Relia, Inc",4708.T,Information Technology
"The Okinawa Electric Power Company, Incorporated",9511.T,Utilities
"Japan Securities Finance Co., Ltd",8511.T,Financials
"Sumitomo Densetsu Co., Ltd",1949.T,Industrials
Okasan Securities Group Inc,8609.T,Financials
"Nishio Rent All Co., Ltd",9699.T,Industrials
"Fuji Co., Ltd",8278.T,Consumer Staples
Daiki Aluminium Industry Co Ltd,5702.T,Unknown
Tokai Corp,9729.T,Health Care
ES-CON JAPAN Ltd,8892.T,Consumer Discretionary
Sumitomo Riko Company Limited,5191.T,Consumer Discretionary
"DOUTOR NICHIRES Holdings Co., Ltd",3087.T,Consumer Discretionary
"Mitsubishi Pencil Co., Ltd",7976.T,Industrials
"Nagaileben Co., Ltd",7447.T,Health Care
Shikoku Chemicals Corporation,4099.T,Materials
"Sanyo Denki Co., Ltd",6516.T,Industrials
"Sogo Medical Holdings Co.,Ltd",9277.T,Consumer Staples
"Bunka Shutter Co., Ltd",5930.T,Industrials
SHIMA SEIKI MFG LTD,6222.T,Industrials
"TOCALO Co., Ltd",3433.T,Industrials
Nitta Corporation,5186.T,Industrials
"Nittoku Engineering Co., Ltd",6145.T,Industrials
"Okamoto Industries, Inc",5122.T,Materials
Samty Residential Investment Corporation,3459.T,Real Estate
"PAL GROUP Holdings CO., LTD",2726.T,Consumer Discretionary
"Meiko Electronics Co., Ltd",6787.T,Information Technology
Tsugami Corporation,6101.T,Industrials
Osaka Organic Chemical Ind,4187.T,Materials
"Anicom Holdings, Inc",8715.T,Financials
"Nippon Ceramic Co., Ltd",6929.T,Information Technology
Tama Home Co Ltd,1419.T,Consumer Discretionary
Organo Corporation,6368.T,Industrials
Weathernews Inc,4825.T,Industrials
LitaLico Inc,6187.T,Consumer Discretionary
Gunze Limited,3002.T,Consumer Discretionary
"Mimasu Semiconductor Industry Co., Ltd",8155.T,Information Technology
"Arcland Service Holdings Co., Ltd",3085.T,Consumer Discretionary
"Nippon Seiki Co., Ltd",7287.T,Consumer Discretionary
"RS Technologies Co., Ltd",3445.T,Information Technology
Elan Corp,6099.T,Health Care
"Japan Asset Marketing Co., Ltd",8922.T,Real Estate
"THE NIPPON ROAD Co., Ltd",1884.T,Industrials
TechMatrix Corporation,3762.T,Information Technology
Arata Corporation,2733.T,Consumer Discretionary
"Tosho Co., Ltd",8920.T,Consumer Discretionary
"Chofu Seisakusho Co., Ltd",5946.T,Consumer Discretionary
"Pacific Industrial Co., Ltd",7250.T,Consumer Discretionary
"Mitsubishi Research Institute, Inc",3636.T,Information Technology
"Eiken Chemical Co., Ltd",4549.T,Health Care
Conexio Corporation,9422.T,Information Technology
Hi-Lex Corporation,7279.T,Consumer Discretionary
Mandom Corporation,4917.T,Consumer Staples
NICHIDEN Corporation,9902.T,Industrials
"Takamatsu Construction Group Co., Ltd",1762.T,Industrials
"One REIT, Inc",3290.T,Real Estate
Nichicon Corporation,6996.T,Information Technology
"Keihanshin Building Co., Ltd",8818.T,Real Estate
"Matsuya Foods Holdings Co., Ltd",9887.T,Consumer Discretionary
"Nikkiso Co., Ltd",6376.T,Industrials
Tokyo Electron Device Limited,2760.T,Unknown
"Noritake Co., Limited",5331.T,Industrials
"MORI TRUST Hotel Reit, Inc",3478.T,Real Estate
"Riken Keiki Co., Ltd",7734.T,Information Technology
Hirata Corporation,6258.T,Industrials
Melco Holdings Inc,6676.T,Information Technology
"Riso Kyoiku Co., Ltd",4714.T,Consumer Discretionary
"MEDIA DO HOLDINGS Co., Ltd",3678.T,Consumer Discretionary
"Maruzen Showa Unyu Co., Ltd",9068.T,Industrials
MegaChips Corporation,6875.T,Information Technology
"Yodogawa Steel Works, Ltd",5451.T,Materials
Shoei Foods Corporation,8079.T,Consumer Staples
"Arcland Sakamoto Co.,Ltd",9842.T,Consumer Discretionary
Nitto Kogyo Corporation,6651.T,Industrials
"The Japan Wool Textile Co., Ltd",3201.T,Consumer Discretionary
Topre Corporation,5975.T,Consumer Discretionary
"KFC Holdings Japan, Ltd",9873.T,Consumer Discretionary
ARGO GRAPHICS Inc,7595.T,Information Technology
"The Bank of Okinawa, Ltd",8397.T,Financials
TKP Corporation,3479.T,Real Estate
"Kappa-Create Co., Ltd",7421.T,Consumer Discretionary
INTAGE HOLDINGS Inc,4326.T,Consumer Discretionary
"WDB Holdings Co., Ltd",2475.T,Industrials
Vision Inc,9416.T,Communication Services
Morita Holdings Corporation,6455.T,Industrials
"The Nanto Bank, Ltd",8367.T,Financials
KITZ Corporation,6498.T,Industrials
"Yuasa Trading Co., Ltd",8074.T,Industrials
Ya-Man Ltd,6630.T,Consumer Staples
Toenec Corporation,1946.T,Industrials
Sakata INX Corporation,4633.T,Materials
"Mitsui Sugar Co., Ltd",2109.T,Consumer Staples
"Asunaro Aoki Construction Co., Ltd",1865.T,Unknown
"ITOCHU-SHOKUHIN Co., Ltd",2692.T,Consumer Staples
Mizuno Corporation,8022.T,Consumer Discretionary
Wowow Inc,4839.T,Communication Services
Tsukui Corporation,2398.T,Health Care
Canon Electronics Inc,7739.T,Information Technology
"Shinko Plantech Co., Ltd",6379.T,Industrials
"YONEX Co., Ltd",7906.T,Consumer Discretionary
"Maxell Holdings, Ltd",6810.T,Information Technology
"Kyokuto Kaihatsu Kogyo Co., Ltd",7226.T,Industrials
"Mitsui Home Co., Ltd",1868.T,Unknown
"Joshin Denki Co., Ltd",8173.T,Consumer Discretionary
"Konoike Transport Co., Ltd",9025.T,Industrials
"Konishi Co., Ltd",4956.T,Materials
Daiho Corporation,1822.T,Industrials
Daiwa Industries Ltd,6459.T,Industrials
"SWCC Showa Holdings Co., Ltd",5805.T,Industrials
Avex Inc,7860.T,Communication Services
"Shibaura Machine Co., Ltd",6104.T,Industrials
Hiday Hidaka Corp,7611.T,Consumer Discretionary
"Nichi-Iko Pharmaceutical Co., Ltd",4541.T,Health Care
Sun Corporation,6736.T,Information Technology
GCA Corporation,2174.T,Unknown
Starts Proceed Investment Corporation,8979.T,Real Estate
"Inageya Co., Ltd",8182.T,Consumer Staples
"ShinMaywa Industries, Ltd",7224.T,Industrials
Tenma Corporation,7958.T,Materials
Union Tool Co,6278.T,Industrials
TV TOKYO Holdings Corporation,9413.T,Consumer Discretionary
Hokuto Corporation,1379.T,Consumer Staples
"Fujiya Co., Ltd",2211.T,Consumer Staples
"The Hokkoku Bank, Ltd",8363.T,Financials
Aucnet Inc,3964.T,Information Technology
"TOC Co., Ltd",8841.T,Real Estate
"The Musashino Bank, Ltd",8336.T,Financials
IDEC Corporation,6652.T,Industrials
"Osaka Soda Co., Ltd",4046.T,Materials
G-Tekt Corporation,5970.T,Consumer Discretionary
"Hamakyorex Co., Ltd",9037.T,Industrials
"Financial Products Group Co., Ltd",7148.T,Financials
Kyoei Steel Ltd,5440.T,Materials
"Septeni Holdings Co., Ltd",4293.T,Communication Services
Alpha Systems Inc,4719.T,Information Technology
Pia Corp,4337.T,Consumer Discretionary
"J-Oil Mills, Inc",2613.T,Consumer Staples
"Tosho Printing Company, Limited",7913.T,Industrials
Kitanotatsujin Corporation,2930.T,Consumer Staples
"Tsubaki Nakashima Co., Ltd",6464.T,Industrials
"Toyo Tanso Co., Ltd",5310.T,Industrials
"Vt Holdings Co.,Ltd",7593.T,Consumer Discretionary
KOA Corporation,6999.T,Information Technology
Tamura Corporation,6768.T,Information Technology
"J Trust Co., Ltd",8508.T,Financials
"Eagle Industry Co.,Ltd",6486.T,Consumer Discretionary
"Riken Vitamin Co., Ltd",4526.T,Consumer Staples
"Halows Co.,Ltd",2742.T,Consumer Staples
Proto Corporation,4298.T,Communication Services
"Star Micronics Co., Ltd",7718.T,Industrials
NIPPON SIGNAL LTD,6741.T,Information Technology
"Doshisha Co.,Ltd",7483.T,Consumer Discretionary
C.I. Takiron Corporation,4215.T,Materials
"Tokushu Tokai Paper Co., Ltd",3708.T,Materials
Fujio Food System Ltd,2752.T,Consumer Discretionary
SanBio Company Limited,4592.T,Health Care
"Kabuki-Za Co., Ltd",9661.T,Real Estate
"Aida Engineering, Ltd",6118.T,Industrials
Mtg Ltd,7806.T,Consumer Staples
United Arrows Ltd,7606.T,Consumer Discretionary
Aichi Corporation,6345.T,Industrials
Oro Ltd,3983.T,Information Technology
"Iino Kaiun Kaisha, Ltd",9119.T,Industrials
Mitsuboshi Belting Ltd,5192.T,Industrials
"Ringer Hut Co.,Ltd",8200.T,Consumer Discretionary
Seikagaku Corporation,4548.T,Health Care
Daiken Corporation,7905.T,Materials
Inui Global Logistics Co Ltd,9308.T,Unknown
Obara Group Incorporated,6877.T,Industrials
"MITSUI-SOKO HOLDINGS Co., Ltd",9302.T,Industrials
Nippon Pillar Packing Co. Ltd.,6490.T,Materials
"Katakura Industries Co.,Ltd",3001.T,Industrials
Kansai Super Market Ltd,9919.T,Consumer Staples
"The Keiyo Bank, Ltd",8544.T,Financials
AOKI Holdings Inc,8214.T,Consumer Discretionary
TOWA Corporation,6315.T,Information Technology
PKSHA Technology Inc,3993.T,Information Technology
"Medical Data Vision Co., Ltd",3902.T,Health Care
"Fujicco Co., Ltd",2908.T,Consumer Staples
Bourbon Corporation,2208.T,Consumer Staples
Takasago International Corporation,4914.T,Materials
SoftBank Technology Corp,4726.T,Information Technology
S&B Foods Inc,2805.T,Consumer Staples
"Nissei Asb Machine Co., Ltd",6284.T,Industrials
"GOLDCREST Co., Ltd",8871.T,Real Estate
