Company,Ticker,Exchange,Currency
EXPLOSIFS PROD.CHI,EXPL.PA,Euronext Paris,EUR
FACEPHI,ALPHI.PA,Euronext Growth Paris,EUR
FAIFEY INVEST,MLECE.PA,Euronext Access Paris,EUR
FARMINVESTE,MLFMV.PA,Euronext Access Lisbon,EUR
FASHION B AIR,ALFBA.PA,Euronext Growth Paris,EUR
FASTNED,FAST.PA,Euronext Amsterdam,EUR
FAURECIA,EO.PA,Euronext Paris,EUR
FAUVET GIREL,FAUV.PA,Euronext Paris,EUR
FAYENC.SARREGUEMI.,FAYE.PA,Euronext Paris,EUR
FBD HOLDINGS PLC,EG7.PA,Euronext Dublin,EUR
FD,MLFDV.PA,Euronext Access Paris,EUR
FD TECHNOLOGIES,GYQ.PA,Euronext Growth Dublin,EUR
FDJ,FDJ.PA,Euronext Paris,EUR
FERM.CAS.MUN.CANNE,FCMC.PA,Euronext Paris,EUR
FERMENTALG,FALG.PA,Euronext Paris,EUR
FIDUCIAL OFF.SOL.,SACI.PA,Euronext Paris,EUR
FIDUCIAL REAL EST.,ORIA.PA,Euronext Paris,EUR
FIGEAC AERO,FGA.PA,Euronext Paris,EUR
FILAE,ALFIL.PA,Euronext Growth Paris,EUR
FIN.ETANG BERRE,BERR.PA,Euronext Paris,EUR
FIN.ETANG BERRE PF,EBPF.PA,Euronext Paris,EUR
FIN.OUEST AFRICAIN,FOAF.PA,Euronext Paris,EUR
FINANCIERE MARJOS,FINM.PA,Euronext Paris,EUR
FINATIS,FNTS.PA,Euronext Paris,EUR
FINAXO,MLFXO.PA,Euronext Access Paris,EUR
FIPP,FIPP.PA,Euronext Paris,EUR
FIRSTCAUTION,MLFIR.PA,Euronext Access Paris,EUR
FLEURY MICHON,ALFLE.PA,Euronext Growth Paris,EUR
FLEXDEAL,FLEXD.PA,Euronext Lisbon,EUR
FLORIDIENNE,FLOB.PA,Euronext Brussels,EUR
FLOW TRADERS,FLOW.PA,Euronext Amsterdam,EUR
FLOWSPARKS,UNI.PA,Euronext Access Brussels,EUR
FLUTTER ENTERTAIN,FLTR.PA,Euronext Dublin,EUR
FLUXYS BELGIUM D,FLUX.PA,Euronext Brussels,EUR
FNAC DARTY,FNAC.PA,Euronext Paris,EUR
FNPTECHNOLOGIESSA,MLFNP.PA,Euronext Access Paris,EUR
FOCUS HOME INT,ALFOC.PA,Euronext Growth Paris,EUR
FONC. PARIS NORD,FPN.PA,Euronext Paris,EUR
FONCIERE 7 INVEST,LEBL.PA,Euronext Paris,EUR
FONCIERE ATLAND,FATL.PA,Euronext Paris,EUR
FONCIERE EURIS,EURS.PA,Euronext Paris,EUR
FONCIERE INEA,INEA.PA,Euronext Paris,EUR
FONCIERE LYONNAISE,FLY.PA,Euronext Paris,EUR
FONCIERE VINDI,MLVIN.PA,Euronext Access Paris,EUR
FONCIERE VOLTA,SPEL.PA,Euronext Paris,EUR
FORESTIERE EQUAT.,FORE.PA,Euronext Paris,EUR
FORFARMERS,FFARM.PA,Euronext Amsterdam,EUR
FOUNTAIN,FOU.PA,Euronext Brussels,EUR
FOUNTAINE PAJOT,ALFPC.PA,Euronext Growth Paris,EUR
FRANCAISE ENERGIE,LFDE.PA,Euronext Paris,EUR
FRANCE SOIR GROUPE,MLFSG.PA,Euronext Access Paris,EUR
FRANCE TOURISME,MLFTI.PA,Euronext Access Paris,EUR
FREELANCE.COM,ALFRE.PA,Euronext Growth Paris,EUR
FREY,FREY.PA,Euronext Paris,EUR
FUGRO,FUR.PA,Euronext Amsterdam,EUR
FUT.CLUBE PORTO,FCP.PA,Euronext Lisbon,EUR
G.A.I.,MLGAI.PA,Euronext Access Paris,EUR
GALEO,MLGAL.PA,Euronext Access Paris,EUR
GALIMMO,GALIM.PA,Euronext Paris,EUR
GALP ENERGIA-NOM,GALP.PA,Euronext Lisbon,EUR
GASCOGNE,ALBI.PA,Euronext Growth Paris,EUR
GAUMONT,GAM.PA,Euronext Paris,EUR
GAUSSIN,ALGAU.PA,Euronext Growth Paris,EUR
GBL,GBLB.PA,Euronext Brussels,EUR
GEA GRENOBL.ELECT.,GEA.PA,Euronext Paris,EUR
GECI INTL,ALGEC.PA,Euronext Growth Paris,EUR
GECINA,GFC.PA,Euronext Paris,EUR
GENERAL ELECTRIC,GNE.PA,Euronext Paris,EUR
GENERIX GROUP,GENX.PA,Euronext Paris,EUR
GENEURO,GNRO.PA,Euronext Paris,EUR
GENFIT,GNFT.PA,Euronext Paris,EUR
GENK LOGIST. CERT,GENK.PA,Euronext Brussels,EUR
GENOMIC VISION,GV.PA,Euronext Paris,EUR
GENOWAY,ALGEN.PA,Euronext Growth Paris,EUR
GENSIGHT BIOLOGICS,SIGHT.PA,Euronext Paris,EUR
GENTLEMENS EQUITY,MLGEQ.PA,Euronext Access Paris,EUR
GEOJUNXION,GOJXN.PA,Euronext Amsterdam,EUR
GEP BSA 2020,GEPBS.PA,Euronext Growth Paris,EUR
GETLINK SE,GET.PA,Euronext Paris,EUR
GEVELOT,ALGEV.PA,Euronext Growth Paris,EUR
GIMV,GIMB.PA,Euronext Brussels,EUR
GL EVENTS,GLO.PA,Euronext Paris,EUR
GLANBIA PLC,GL9.PA,Euronext Dublin,EUR
GLENVEAGH PROP.PLC,GVR.PA,Euronext Dublin,EUR
GLINTT,GLINT.PA,Euronext Lisbon,EUR
GLOBAL BIOENERGIES,ALGBE.PA,Euronext Growth Paris,EUR
GLOBAL GRAPHICS,GLOG.PA,Euronext Brussels,EUR
GLOBAL PIELAGO,MLNDG.PA,Euronext Access Paris,EUR
GOLD BY GOLD,ALGLD.PA,Euronext Growth Paris,EUR
GOUR MEDICAL,MLGML.PA,Euronext Access Paris,EUR
GPE GROUP PIZZORNO,GPE.PA,Euronext Paris,EUR
GPE PAROT (AUTO),ALPAR.PA,Euronext Growth Paris,EUR
GRAINES VOLTZ,GRVO.PA,Euronext Paris,EUR
GRANDVISION,GVNV.PA,Euronext Amsterdam,EUR
GREAT WESTERN MIN.,8GW.PA,Euronext Growth Dublin,EUR
GRECEMAR,MLCMG.PA,Euronext Access Paris,EUR
GREENCOAT REN.,GRP.PA,Euronext Growth Dublin,EUR
GREENVOLT,GVOLT.PA,Euronext Lisbon,EUR
GREENYARD,GREEN.PA,Euronext Brussels,EUR
GROUPE CARNIVOR,MLGRC.PA,Euronext Access Paris,EUR
GROUPE CASOL,MLCAS.PA,Euronext Access Paris,EUR
GROUPE CRIT,CEN.PA,Euronext Paris,EUR
GROUPE FLO,FLO.PA,Euronext Paris,EUR
GROUPE GORGE,GOE.PA,Euronext Paris,EUR
GROUPE GUILLIN,ALGIL.PA,Euronext Growth Paris,EUR
GROUPE IRD,IRD.PA,Euronext Paris,EUR
GROUPE JAJ,GJAJ.PA,Euronext Paris,EUR
GROUPE LDLC,ALLDL.PA,Euronext Growth Paris,EUR
GROUPE OPEN,OPN.PA,Euronext Paris,EUR
GROUPE PARTOUCHE,PARP.PA,Euronext Paris,EUR
GROUPE PLUS-VALUES,MLPVG.PA,Euronext Access Paris,EUR
GROUPE SFPI,SFPI.PA,Euronext Paris,EUR
GROUPE TERA,ALGTR.PA,Euronext Growth Paris,EUR
GROUPIMO,ALIMO.PA,Euronext Growth Paris,EUR
GT BIOPHARMA INC,GTBP.PA,Euronext Paris,EUR
GTT,GTT.PA,Euronext Paris,EUR
GUANDAO PUER INVES,MLGDI.PA,Euronext Access Paris,EUR
GUERBET,GBT.PA,Euronext Paris,EUR
GUILLEMOT,GUI.PA,Euronext Paris,EUR
H2O INNOVATION INC,ALHEO.PA,Euronext Growth Paris,EUR
HAL TRUST,HAL.PA,Euronext Amsterdam,EUR
HAMILTON GLOBAL OP,ALHGO.PA,Euronext Growth Paris,EUR
HAMON,HAMO.PA,Euronext Brussels,EUR
HAULOTTE GROUP,PIG.PA,Euronext Paris,EUR
HDF,HDF.PA,Euronext Paris,EUR
HEALTH,MLAHC.PA,Euronext Access Paris,EUR
HEALTHCARE ACTIVOS,MLHAY.PA,Euronext Access Paris,EUR
HEDOSOPHIA ORD SHA,HEGA.PA,Euronext Amsterdam,EUR
HEDOSOPHIA UNITS,HEGAU.PA,Euronext Amsterdam,EUR
HEDOSOPHIA WARRANT,HEGAW.PA,Euronext Amsterdam,EUR
HEIJMANS,HEIJM.PA,Euronext Amsterdam,EUR
HEINEKEN,HEIA.PA,Euronext Amsterdam,EUR
HEINEKEN HOLDING,HEIO.PA,Euronext Amsterdam,EUR
HERIGE,ALHRG.PA,Euronext Growth Paris,EUR
HERMES INTL,RMS.PA,Euronext Paris,EUR
HEXAOM,HEXA.PA,Euronext Paris,EUR
HF COMPANY,ALHF.PA,Euronext Growth Paris,EUR
HIBERNIA REIT PLC,HBRN.PA,Euronext Dublin,EUR
HIGH CO,HCO.PA,Euronext Paris,EUR
HIOLLE INDUSTRIES,ALHIO.PA,Euronext Growth Paris,EUR
HIPAY GROUP,ALHYP.PA,Euronext Growth Paris,EUR
HITECHPROS,ALHIT.PA,Euronext Growth Paris,EUR
HK,MLHK.PA,Euronext Access Paris,EUR
HOCHE BAINS L.BAIN,MLHBB.PA,Euronext Access Paris,EUR
HOFFMANN,ALHGR.PA,Euronext Growth Paris,EUR
Holcim Ltd,HOLN.PA,Euronext Paris,EUR
HOLLAND COLOURS,HOLCO.PA,Euronext Amsterdam,EUR
HOME CONCEPT,MLHCF.PA,Euronext Access Paris,EUR
HOME INVEST BE.,HOMI.PA,Euronext Brussels,EUR
HOPENING,MLHPE.PA,Euronext Access Paris,EUR
HOPIUM,MLHPI.PA,Euronext Access Paris,EUR
HOPSCOTCH GROUPE,HOP.PA,Euronext Paris,EUR
HOSTELWORLD GROUP,HSW.PA,Euronext Dublin,EUR
HOT.MAJESTIC CANNE,MLHMC.PA,Euronext Access Paris,EUR
HOTELIM,MLHOT.PA,Euronext Access Paris,EUR
HOTELS DE PARIS,HDP.PA,Euronext Paris,EUR
HOTL.IMMOB.NICE,MLHIN.PA,Euronext Access Paris,EUR
HUNTER DOUGLAS,HDG.PA,Euronext Amsterdam,EUR
HUNTER DOUGLAS,HUNDP.PA,Euronext Amsterdam,EUR
HYBRIGENICS,ALHYG.PA,Euronext Growth Paris,EUR
HYDRATEC,HYDRA.PA,Euronext Amsterdam,EUR
HYDRAULIQUE PB,MLHYD.PA,Euronext Access Paris,EUR
HYDRO-EXPLOIT.,MLHYE.PA,Euronext Access Paris,EUR
HYDROGEN REFUELING,ALHRS.PA,Euronext Growth Paris,EUR
HYLORIS,HYL.PA,Euronext Brussels,EUR
I.CERAM,ALICR.PA,Euronext Growth Paris,EUR
I2PO SHARES,I2PO.PA,Euronext Paris,EUR
I2PO WARRANTS,I2POW.PA,Euronext Paris,EUR
I2S,ALI2S.PA,Euronext Growth Paris,EUR
IANTE INVESTMENTS,MLINT.PA,Euronext Access Paris,EUR
IBA,IBAB.PA,Euronext Brussels,EUR
ICADE,ICAD.PA,Euronext Paris,EUR
ID LOGISTICS GROUP,IDL.PA,Euronext Paris,EUR
IDI,IDIP.PA,Euronext Paris,EUR
IDS,MLIDS.PA,Euronext Access Paris,EUR
IDSUD,ALIDS.PA,Euronext Growth Paris,EUR
IEP INVEST,IEP.PA,Euronext Brussels,EUR
IEX GROUP NV,IEX.PA,Euronext Amsterdam,EUR
IGE + XAO,IGE.PA,Euronext Paris,EUR
IGIS NEPTUNE,MLABC.PA,Euronext Access Paris,EUR
IKONISYS,ALIKO.PA,Euronext Growth Paris,EUR
ILIAD,ILD.PA,Euronext Paris,EUR
IMALLIANCE,MLIML.PA,Euronext Access Paris,EUR
IMCD,IMCD.PA,Euronext Amsterdam,EUR
IMERYS,NK.PA,Euronext Paris,EUR
IMM.PARIS.PERLE,MLIPP.PA,Euronext Access Paris,EUR
IMMERSION,ALIMR.PA,Euronext Growth Paris,EUR
IMMO MCC,MCC.PA,Euronext Brussels,EUR
IMMO MOURY,IMMOU.PA,Euronext Brussels,EUR
IMMOB.DASSAULT,IMDA.PA,Euronext Paris,EUR
IMMOBEL,IMMO.PA,Euronext Brussels,EUR
IMMOPOOL,IMMOP.PA,Euronext Expert Market,EUR
IMMUPHARMA,ALIMM.PA,Euronext Growth Brussels,EUR
IMOB.C GRAO PARA,GPA.PA,Euronext Lisbon,EUR
IMPLANET,ALIMP.PA,Euronext Growth Paris,EUR
IMPRIMERIE CHIRAT,MLIMP.PA,Euronext Access Paris,EUR
IMPULSE FITNESS,MLIFS.PA,Euronext Access Paris,EUR
INAPA-INV.P.GESTAO,INA.PA,Euronext Lisbon,EUR
INCLUSIO SA/NV,INCLU.PA,Euronext Brussels,EUR
INDLE FIN.ENTREPR.,INFE.PA,Euronext Paris,EUR
INFOCLIP,MLIFC.PA,Euronext Access Paris,EUR
INFOTEL,INF.PA,Euronext Paris,EUR
INMARK,MLINM.PA,Euronext Access Paris,EUR
INMOSUPA,MLISP.PA,Euronext Access Paris,EUR
INNATE PHARMA,IPH.PA,Euronext Paris,EUR
INNELEC MULTIMEDIA,ALINN.PA,Euronext Growth Paris,EUR
INNOVADERMA PLC,MLIDP.PA,Euronext Access Paris,EUR
INNOVATIVE RFK SPA,MLIRF.PA,Euronext Access Paris,EUR
INPOST,INPST.PA,Euronext Amsterdam,EUR
INSTALLUX,ALLUX.PA,Euronext Growth Paris,EUR
INTEGRAGEN,ALINT.PA,Euronext Growth Paris,EUR
INTEGRITAS VIAGER,MLVIE.PA,Euronext Access Paris,EUR
INTERPARFUMS,ITP.PA,Euronext Paris,EUR
INTERTRUST,INTER.PA,Euronext Amsterdam,EUR
INTERVEST OFF-WARE,INTO.PA,Euronext Brussels,EUR
INTEXA,ITXT.PA,Euronext Paris,EUR
INTRASENSE,ALINS.PA,Euronext Growth Paris,EUR
INVENTIVA,IVA.PA,Euronext Paris,EUR
INVIBES ADVERTSING,ALINV.PA,Euronext Growth Paris,EUR
IOC HOLDING,MLIOC.PA,Euronext Access Paris,EUR
IPOSA PROPERTIES,MLIPO.PA,Euronext Access Paris,EUR
IPSEN,IPN.PA,Euronext Paris,EUR
IPSOS,IPS.PA,Euronext Paris,EUR
IRISH CONT. GP.,IR5B.PA,Euronext Dublin,EUR
IRISH RES. PROP.,IRES.PA,Euronext Dublin,EUR
IT LINK,ALITL.PA,Euronext Growth Paris,EUR
ITALY INNOVAZIONI,MLITN.PA,Euronext Access Paris,EUR
ITESOFT,ITE.PA,Euronext Paris,EUR
IVALIS,ALIVA.PA,Euronext Growth Paris,EUR
JACQUES BOGART,JBOG.PA,Euronext Paris,EUR
JACQUET METALS,JCQ.PA,Euronext Paris,EUR
JC DECAUX SA.,DEC.PA,Euronext Paris,EUR
JDE PEET'S,JDEP.PA,Euronext Amsterdam,EUR
JENSEN-GROUP,JEN.PA,Euronext Brussels,EUR
JSA TECHNOLOGY,MLJSA.PA,Euronext Access Paris,EUR
JUST EAT TAKEAWAY,TKWY.PA,Euronext Amsterdam,EUR
KALRAY,ALKAL.PA,Euronext Growth Paris,EUR
KAUFMAN ET BROAD,KOF.PA,Euronext Paris,EUR
KBC,KBC.PA,Euronext Brussels,EUR
KBC ANCORA,KBCA.PA,Euronext Brussels,EUR
KENDRION,KENDR.PA,Euronext Amsterdam,EUR
KENMARE RESOURCES,KMR.PA,Euronext Dublin,EUR
KERING,KER.PA,Euronext Paris,EUR
KERLINK,ALKLK.PA,Euronext Growth Paris,EUR
KERRY GROUP PLC,KRZ.PA,Euronext Dublin,EUR
KEYRUS,ALKEY.PA,Euronext Growth Paris,EUR
KEYWARE TECH.,KEYW.PA,Euronext Brussels,EUR
KINEPOLIS GROUP,KIN.PA,Euronext Brussels,EUR
KINGSPAN GROUP PLC,KRX.PA,Euronext Dublin,EUR
KKO INTERNATIONAL,ALKKO.PA,Euronext Growth Paris,EUR
KLARSEN,ALKLA.PA,Euronext Growth Paris,EUR
KLEPIERRE,LI.PA,Euronext Paris,EUR
KLIMVEST,ALSIM.PA,Euronext Growth Paris,EUR
KOMPUESTOS,ALKOM.PA,Euronext Growth Paris,EUR
KORIAN,KORI.PA,Euronext Paris,EUR
KPN KON,KPN.PA,Euronext Amsterdam,EUR
KTESIOS REAL ESTAT,MLKTS.PA,Euronext Access Lisbon,EUR
KUMULUS VAPE,ALVAP.PA,Euronext Growth Paris,EUR
KUMULUSBSA2020,VAPBS.PA,Euronext Growth Paris,EUR
LA PERLA FASHION,ALPER.PA,Euronext Growth Paris,EUR
LACROIX GROUP,LACR.PA,Euronext Paris,EUR
LAGARDERE SA,MMB.PA,Euronext Paris,EUR
LANSON-BCC,ALLAN.PA,Euronext Growth Paris,EUR
LARGO,ALLGO.PA,Euronext Growth Paris,EUR
LATECOERE,LAT.PA,Euronext Paris,EUR
LAURENT-PERRIER,LPE.PA,Euronext Paris,EUR
LAVIDE HOLDING,LVIDE.PA,Euronext Amsterdam,EUR
LDC,LOUP.PA,Euronext Paris,EUR
LE TANNEUR,ALTAN.PA,Euronext Growth Paris,EUR
LEASINVEST,LEAS.PA,Euronext Brussels,EUR
LEBON,LBON.PA,Euronext Paris,EUR
LECTRA,LSS.PA,Euronext Paris,EUR
LEGRAND,LR.PA,Euronext Paris,EUR
LES AGENCES DE PAP,MLPAP.PA,Euronext Access Paris,EUR
LES HOTELS BAVEREZ,ALLHB.PA,Euronext Growth Paris,EUR
LESTQBLANC202212BS,TBMBT.PA,Euronext Growth Paris,EUR
LEXIBOOK LINGUIST.,ALLEX.PA,Euronext Growth Paris,EUR
LINEDATA SERVICES,LIN.PA,Euronext Paris,EUR
LISGRAFICA,LIG.PA,Euronext Lisbon,EUR
LISI,FII.PA,Euronext Paris,EUR
LITHO FORMAS,LIT.PA,Euronext Access Lisbon,EUR
LLEIDA,ALLLN.PA,Euronext Growth Paris,EUR
LNA SANTE,LNA.PA,Euronext Paris,EUR
LOCASYSTEM INTL,MLLOI.PA,Euronext Access Paris,EUR
LOGIC INSTRUMENT,ALLOG.PA,Euronext Growth Paris,EUR
LOGIS CONFORT,MLLOG.PA,Euronext Access Paris,EUR
LOMBARD ET MEDOT,MLCAC.PA,Euronext Access Paris,EUR
L'OREAL,OR.PA,Euronext Paris,EUR
LOTUS BAKERIES,LOTB.PA,Euronext Brussels,EUR
LUCASBOLS,BOLS.PA,Euronext Amsterdam,EUR
LUCIBEL,ALUCI.PA,Euronext Growth Paris,EUR
LUCIBEL BS,LUCBS.PA,Euronext Growth Paris,EUR
LUMIBIRD,LBIRD.PA,Euronext Paris,EUR
LV4S,MLV4S.PA,Euronext Access Paris,EUR
LVMH,MC.PA,Euronext Paris,EUR
LYSOGENE,LYS.PA,Euronext Paris,EUR
M.R.M,MRM.PA,Euronext Paris,EUR
M2I,ALMII.PA,Euronext Growth Paris,EUR
MADE,MLMAD.PA,Euronext Access Paris,EUR
MADVERTISE,ALMNG.PA,Euronext Growth Paris,EUR
MAGILLEM,MLMGL.PA,Euronext Access Paris,EUR
MAIS.ANTOINE BAUD,MLMAB.PA,Euronext Access Paris,EUR
MAISON CLIO BLUE,MLCLI.PA,Euronext Access Paris,EUR
MAISONS DU MONDE,MDM.PA,Euronext Paris,EUR
MAJOREL GROUP LUX,MAJ.PA,Euronext Amsterdam,EUR
MAKHEIA GROUP,ALMAK.PA,Euronext Growth Paris,EUR
MAKHEIA GROUP BSB,MAKB2.PA,Euronext Growth Paris,EUR
MAKING SCIENCE,ALMKS.PA,Euronext Growth Paris,EUR
MALIN CORP. PLC,MLC.PA,Euronext Growth Dublin,EUR
MALTERIES FCO-BEL.,MALT.PA,Euronext Paris,EUR
MANITOU BF,MTU.PA,Euronext Paris,EUR
MANUTAN INTL,MAN.PA,Euronext Paris,EUR
MAQ ADMON. URBANAS,MLMAQ.PA,Euronext Access Paris,EUR
MARE NOSTRUM,ALMAR.PA,Euronext Growth Paris,EUR
MAREL,MAREL.PA,Euronext Amsterdam,EUR
MAROC TELECOM,IAM.PA,Euronext Paris,EUR
MARTIFER,MAR.PA,Euronext Lisbon,EUR
MASTRAD,ALMAS.PA,Euronext Growth Paris,EUR
MASTRAD BS29,MASBS.PA,Euronext Growth Paris,EUR
MAUNA KEA TECH,MKEA.PA,Euronext Paris,EUR
MAUREL ET PROM,MAU.PA,Euronext Paris,EUR
MBWS,MBWS.PA,Euronext Paris,EUR
MBWS BSA 2022,MBWBT.PA,Euronext Paris,EUR
MBWS BSAR 2023,MBWSZ.PA,Euronext Paris,EUR
MCPHY ENERGY,MCPHY.PA,Euronext Paris,EUR
MDXHEALTH,MDXH.PA,Euronext Brussels,EUR
MEDESIS PHARMA,ALMDP.PA,Euronext Growth Paris,EUR
MEDIA 6,EDI.PA,Euronext Paris,EUR
MEDIA CAPITAL,MCP.PA,Euronext Lisbon,EUR
MEDIA LAB,MLLAB.PA,Euronext Access Paris,EUR
MEDIA MAKER,ALKER.PA,Euronext Growth Paris,EUR
MEDIANTECHNOLOGIES,ALMDT.PA,Euronext Growth Paris,EUR
MEDINCELL,MEDCL.PA,Euronext Paris,EUR
MEDIOCREDITO EUROP,MLMCE.PA,Euronext Access Paris,EUR
MELEXIS,MELE.PA,Euronext Brussels,EUR
MEMSCAP REGPT,MEMS.PA,Euronext Paris,EUR
MERCIALYS,MERY.PA,Euronext Paris,EUR
MERCK AND CO INC,MRK.PA,Euronext Paris,EUR
MERIDIA RE IV,MLMIV.PA,Euronext Access Paris,EUR
MERLIN PROPERTIES,MRL.PA,Euronext Lisbon,EUR
MERSEN,MRN.PA,Euronext Paris,EUR
METABOLIC EXPLORER,METEX.PA,Euronext Paris,EUR
METALLIANCE,MLETA.PA,Euronext Access Paris,EUR
METHANOR,ALMET.PA,Euronext Growth Paris,EUR
METHORIOS CAPITAL,ALMTH.PA,Euronext Growth Paris,EUR
METRICS IN BALANCE,MLMIB.PA,Euronext Access Paris,EUR
METROPOLE TV,MMT.PA,Euronext Paris,EUR
MG INTERNATIONAL,ALMGI.PA,Euronext Growth Paris,EUR
MGI DIGITAL GRAPHI,ALMDG.PA,Euronext Growth Paris,EUR
MICHELIN,ML.PA,Euronext Paris,EUR
MICROPOLE,MUN.PA,Euronext Paris,EUR
MICROSKIN,MLSKN.PA,Euronext Access Paris,EUR
MIGUET ET ASSOCIES,MLNMA.PA,Euronext Access Paris,EUR
MIKO,MIKO.PA,Euronext Brussels,EUR
MILIBOO,ALMLB.PA,Euronext Growth Paris,EUR
MINCON GROUP PLC,MIO.PA,Euronext Growth Dublin,EUR
MINT,ALBUD.PA,Euronext Growth Paris,EUR
MINT BS,BUDBS.PA,Euronext Growth Paris,EUR
MITHRA,MITRA.PA,Euronext Brussels,EUR
MKB Nedsense,NEDSE.PA,Euronext Amsterdam,EUR
MLD,MLAMY.PA,Euronext Access Paris,EUR
MND,ALMND.PA,Euronext Growth Paris,EUR
MONCEY (FIN.) NOM.,MONC.PA,Euronext Paris,EUR
MONFINANCIER,MLMON.PA,Euronext Access Paris,EUR
MONUMENTAL RES,MLMR.PA,Euronext Access Lisbon,EUR
MOPOLI,MOP.PA,Euronext Brussels,EUR
MOPOLI FOND,MOPF.PA,Euronext Brussels,EUR
MOREFIELD GROUP,MORE.PA,Euronext Amsterdam,EUR
MOTA ENGIL,EGL.PA,Euronext Lisbon,EUR
MOULINVEST,ALMOU.PA,Euronext Growth Paris,EUR
MOURY CONSTRUCT,MOUR.PA,Euronext Brussels,EUR
MR BRICOLAGE,ALMRB.PA,Euronext Growth Paris,EUR
MTD FINANCE,MLMTD.PA,Euronext Access Paris,EUR
MULANN,MLMUL.PA,Euronext Access Paris,EUR
MULTI 24,MLM24.PA,Euronext Access Lisbon,EUR
MUNCHENER RUCKVERS,MEURV.PA,Traded not listed Brussels,EUR
MUNIC,ALMUN.PA,Euronext Growth Paris,EUR
MUSEE GREVIN,GREV.PA,Euronext Paris,EUR
MYBEST GROUP,ALMBG.PA,Euronext Growth Paris,EUR
NACON,NACON.PA,Euronext Paris,EUR
NAI ORD SHARES,NAI.PA,Euronext Amsterdam,EUR
NAI TREAS SHARES,NAITR.PA,Euronext Amsterdam,EUR
NAI WARRANTS,NAIW.PA,Euronext Amsterdam,EUR
NAMR,ALNMR.PA,Euronext Growth Paris,EUR
NANOBIOTIX,NANO.PA,Euronext Paris,EUR
NATURE ET LOGIS,MLNAT.PA,Euronext Access Paris,EUR
NAVYA,NAVYA.PA,Euronext Paris,EUR
NEDAP,NEDAP.PA,Euronext Amsterdam,EUR
NEOCOM MULTIMEDIA,MLNEO.PA,Euronext Access Paris,EUR
NEOEN,NEOEN.PA,Euronext Paris,EUR
NEOLIFE,ALNLF.PA,Euronext Growth Paris,EUR
NEOLIFE BS,NLFBS.PA,Euronext Growth Paris,EUR
NEOVACS,ALNEV.PA,Euronext Growth Paris,EUR
NEPI ROCKCASTLE,NRP.PA,Euronext Amsterdam,EUR
NETGEM,ALNTG.PA,Euronext Growth Paris,EUR
NEUFCOUR-FIN.,MLNEU.PA,Euronext Access Brussels,EUR
NEURONES,NRO.PA,Euronext Paris,EUR
NEW SOURCES ENERGY,NSE.PA,Euronext Amsterdam,EUR
NEWAYS ELECTRONICS,NEWAY.PA,Euronext Amsterdam,EUR
NEWSINVEST,MLNEI.PA,Euronext Access Paris,EUR
NEWTREE,NEWT.PA,Euronext Access Brussels,EUR
NEXANS,NEX.PA,Euronext Paris,EUR
NEXITY,NXI.PA,Euronext Paris,EUR
NEXPONOR-SICAFI,ALNOR.PA,Euronext Growth Lisbon,EUR
NEXTEDIA,ALNXT.PA,Euronext Growth Paris,EUR
NEXTSTAGE,NEXTS.PA,Euronext Paris,EUR
NFL BIOSCIENCES,ALNFL.PA,Euronext Growth Paris,EUR
NH THERAGUIX,ALNHT.PA,Euronext Growth Paris,EUR
NHOA,NHOA.PA,Euronext Paris,EUR
NICOX,COX.PA,Euronext Paris,EUR
NN GROUP,NN.PA,Euronext Amsterdam,EUR
NOKIA,NOKIA.PA,Euronext Paris,EUR
"NOS, SGPS",NOS.PA,Euronext Lisbon,EUR
NOVACYT,ALNOV.PA,Euronext Growth Paris,EUR
NOVATECH IND.,MLNOV.PA,Euronext Access Paris,EUR
NOXXON,ALNOX.PA,Euronext Growth Paris,EUR
NR21,NR21.PA,Euronext Paris,EUR
NRJ GROUP,NRG.PA,Euronext Paris,EUR
NSC GROUPE,ALNSC.PA,Euronext Growth Paris,EUR
NSE,ALNSE.PA,Euronext Growth Paris,EUR
NSI N.V.,NSI.PA,Euronext Amsterdam,EUR
NX FILTRATION,NXFIL.PA,Euronext Amsterdam,EUR
NYRSTAR,NYR.PA,Euronext Brussels,EUR
NYXOAH,NYXH.PA,Euronext Brussels,EUR
O SORBET D AMOUR,MLOSA.PA,Euronext Access Paris,EUR
OBER,ALOBR.PA,Euronext Growth Paris,EUR
OBIZ,ALBIZ.PA,Euronext Growth Paris,EUR
OCI,OCI.PA,Euronext Amsterdam,EUR
OCTOPUS BIOSAFETY,MLOCT.PA,Euronext Access Paris,EUR
ODYSSEY ORD SHARES,ODYSY.PA,Euronext Amsterdam,EUR
ODYSSEY WARRANTS,ODYSW.PA,Euronext Amsterdam,EUR
OENEO,SBT.PA,Euronext Paris,EUR
OL GROUPE,OLG.PA,Euronext Paris,EUR
OL GROUPE NV21,OLNV.PA,Euronext Paris,EUR
OLIMPO REAL ESTATE,MLORE.PA,Euronext Access Lisbon,EUR
OMER-DECUGIS & CIE,ALODC.PA,Euronext Growth Paris,EUR
ONCODESIGN,ALONC.PA,Euronext Growth Paris,EUR
ONE EXPERIENCE,MLOEX.PA,Euronext Access Paris,EUR
ONLINEFORMAPRO,MLONL.PA,Euronext Access Paris,EUR
ONTEX GROUP,ONTEX.PA,Euronext Brussels,EUR
ONXEO,ALONX.PA,Euronext Growth Paris,EUR
OPEN ORPHAN PLC,ORPH.PA,Euronext Growth Dublin,EUR
