Ticker,Name,Description,Mrkt Cap,Sector
BFST,Business First Bancshares,Banks,577.50M,Financials
BG,Bunge,Food Products,13.12B,Staples
BGCP,BGC Partners,Capital Markets,1.71B,Financials
BGFV,Big 5 Sporting Goods,Specialty Retail,424.13M,Discretionary
BGI,Birks Group,Specialty Retail,88.90M,Discretionary
BGNE,BeiGene,Biotechnology,27.73B,Healthcare
BGRY,Berkshire Grey,Specialty Industrial Machinery,1.26B,Industrials
BGS,B&G Foods,Food Products,1.99B,Staples
BGSF,BG Staffing,Professional Services,149.30M,Services
BGSX,Build Acquisition,Blank Check / SPAC,244.00M,SPAC
BH,Biglari Holdings,"Hotels, Restaurants & Leisure",438.70M,Discretionary
BH.A,Biglari Holdings,Restaurants,438.70M,Discretionary
BHAC,Crixus BH3 Acquisition,Blank Check / SPAC,245.00M,SPAC
BHAT,Blue Hat Interactive Entertainment Technology,Entertainment,23.11M,Communication
BHB,Bar Harbor Bankshares,Banks,433.57M,Financials
BHC,Bausch Health Companies,Pharmaceuticals,9.92B,Healthcare
BHE,Benchmark Electronics,"Electronic Equipment, Instruments & C...",954.58M,Industrial
BHF,Brighthouse Financial,Insurance,4.13B,Financials
BHG,Bright Health Group,Healthcare Plans,2.16B,Healthcare
BHIL,Benson Hill,Agricultural Inputs,1.30B,Materials
BHLB,Berkshire Hills Bancorp,Banks,1.38B,Financials
BHP,BHP Group,Metals & Mining,152.75B,Materials
BHR,Braemar Hotels & Resorts,Equity Real Estate Investment Trusts...,328.97M,Real Estate
BHSE,Bull Horn Holdings,Blank Check / SPAC,93.75M,SPAC
BHVN,Biohaven Pharmaceutical Holding Co.,Biotechnology,9.03B,Healthcare
BIDU,Baidu,Interactive Media & Services,51.79B,Information Technology
BIG,Big Lots,Multiline Retail,1.38B,Discretionary
BIGC,BigCommerce Holdings,IT Services,2.53B,Information Technology
BIIB,Biogen,Biotechnology,35.24B,Healthcare
BILI,Bilibili,Entertainment,17.77B,Communication
BILL,Bill.com Holdings,Software,25.55B,Information Technology
BIMI,BIMI International Medical,Machinery,18.65M,Industrials
BIO,Bio-Rad Laboratories,Life Sciences Tools & Services,22.44B,Healthcare
BIOC,Biocept,Biotechnology,60.97M,Healthcare
BIOL,BIOLASE,Health Care Equipment & Supplies,59.78M,Healthcare
BIOT,Biotech Acquisition Company,Blank Check / SPAC,282.90M,SPAC
BIOX,Bioceres Crop Solutions,Food Products,581.21M,Staples
BIP,Brookfield Infrastructure Partners LP,Multi-Utilities,18.56B,Utilities
BIPC,Brookfield Infrastructure,Gas Utilities,5.01B,Utilities
BIRD,Allbirds,Apparel Retail,2.21B,Discretionary
BITE,Bite Acquisition,Blank Check / SPAC,249.22M,SPAC
BITF,Bitfarms,Capital Markets,945.49M,Financials
BIVI,BioVie,Biotechnology,112.33M,Healthcare
BJ,BJ's Wholesale Club Holdings,Food & Staples Retailing,9.11B,Staples
BJDX,Bluejay Diagnostics,Medical Devices,32.35M,Healthcare
BJRI,BJ's Restaurants,"Hotels, Restaurants & Leisure",805.14M,Discretionary
BK,Bank of New York Mellon,Capital Markets,47.96B,Financials
BKCC,BlackRock Capital Investment,Capital Markets,295.88M,Financials
BKD,Brookdale Senior Living,Health Care Providers & Services,956.47M,Healthcare
BKE,The Buckle,Specialty Retail,2.11B,Discretionary
BKEP,BlueKnight Energy Partners,"Oil, Gas & Consumable Fuels",137.00M,Energy
BKH,Black Hills,Multi-Utilities,4.50B,Utilities
BKI,Black Knight,IT Services,12.87B,Information Technology
BKKT,Bakkt Holdings,Software-Infrastructure,486.47M,Information Technology
BKNG,Booking Holdings,Internet & Direct Marketing Retail,98.51B,Information Technology
BKR,Baker Hughes Company,Energy Equipment & Services,20.93B,Energy
BKSC,Bank of South Carolina,Banks,113.50M,Financials
BKSY,BlackSky Technology,Scientific & Technical Instruments,521.36M,Industrials
BKTI,BK Technologies,Communications Equipment,40.52M,Industrial
BKU,BankUnited,Banks,3.77B,Financials
BKYI,BIO-key International,Software,17.31M,Information Technology
BL,BlackLine,Software,6.07B,Information Technology
BLBD,Blue Bird,Machinery,499.98M,Industrials
BLBX,Blackboxstocks,Software-Application,46.14M,Information Technology
BLCM,Bellicum Pharmaceuticals,Biotechnology,12.51M,Healthcare
BLCT,BlueCity Holdings,Internet Content & Information,56.43M,Information Technology
BLD,TopBuild,Household Durables,9.08B,Discretionary
BLDE,Blade Air Mobility,Airports & Air Services,622.98M,Industrial
BLDP,Ballard Power Systems,Electrical Equipment,3.74B,Industrial
BLDR,Builders FirstSource,Building Products,16.41B,Industrial
BLFS,BioLife Solutions,Health Care Equipment & Supplies,1.55B,Healthcare
BLFY,Blue Foundry Bancorp,Banks-Regional,417.28M,Financials
BLI,Berkeley Lights,Life Sciences Tools & Services,1.23B,Healthcare
BLIN,Bridgeline Digital,Software,23.02M,Information Technology
BLK,BlackRock,Capital Markets,139.09B,Financials
BLKB,Blackbaud,Software,3.80B,Information Technology
BLL,Ball Corporation,Containers & Packaging,31.18B,Materials
BLMN,Bloomin' Brands,"Hotels, Restaurants & Leisure",1.87B,Discretionary
BLND,Blend Labs,Software-Application,1.69B,Information Technology
BLNG,Belong Acquisition,Blank Check / SPAC,188.93M,SPAC
BLNK,Blink Charging Co.,Specialty Retail,1.12B,Discretionary
BLPH,Bellerophon Therapeutics,Health Care Equipment & Supplies,29.47M,Healthcare
BLRX,BioLineRx,Biotechnology,99.02M,Healthcare
BLSA,BCLS Acquisition,Blank Check / SPAC,185.65M,SPAC
BLTS,Bright Lights Acquisition,Blank Check / SPAC,283.19M,SPAC
BLU,BELLUS Health,Biotechnology,831.99M,Healthcare
BLUA,BlueRiver Acquisition,Blank Check / SPAC,357.09M,SPAC
BLUE,Bluebird Bio,Biotechnology,700.37M,Healthcare
BLX,Banco Latinoamericano de Comercio Exterior,Diversified Financial Services,658.65M,Financials
BLZE,Backblaze,Software-Infrastructure,511.77M,Information Technology
BMA,Banco Macro,Banks,895.88M,Financials
BMAC,Black Mountain Acquisition,Blank Check / SPAC,285.07M,SPAC
BMAQ,Blockchain Moon Acquisition,Blank Check / SPAC,135.78M,SPAC
BMBL,Bumble,Software-Application,6.25B,Information Technology
BMEA,Biomea Fusion,Biotechnology,216.38M,Healthcare
BMI,Badger Meter,"Electronic Equipment, Instruments & C...",3.12B,Industrial
BMO,Bank of Montreal,Banks,69.83B,Financials
BMRA,Biomerica,Health Care Equipment & Supplies,48.66M,Healthcare
BMRC,Bank of Marin Bancorp,Banks,596.18M,Financials
BMRN,BioMarin Pharmaceutical,Biotechnology,16.22B,Healthcare
BMTC,Bryn Mawr Bank,Banks,895.73M,Financials
BMTX,BM Technologies,Software-Application,112.42M,Information Technology
BMY,Bristol-Myers Squibb Company,Pharmaceuticals,138.39B,Healthcare
BNED,Barnes & Noble Education,Specialty Retail,354.07M,Discretionary
BNFT,Benefitfocus,Software,356.37M,Information Technology
BNGO,BioNano Genomics,Life Sciences Tools & Services,864.66M,Healthcare
BNIX,Bannix Acquisition,Blank Check / SPAC,69.01M,SPAC
BNL,Broadstone Net Lease,Equity Real Estate Investment Trusts...,4.00B,Real Estate
BNNR,Banner Acquisition,Blank Check / SPAC,183.00M,SPAC
BNOX,Bionomics,Biotechnology,90.58M,Healthcare
BNR,Burning Rock Biotech,Diagnostics & Research,996.34M,Healthcare
BNS,The Bank of Nova Scotia,Banks,87.15B,Financials
BNSO,Bonso Electronics International,"Electronic Equipment, Instruments & C...",21.08M,Industrial
BNTC,Benitec Biopharma,Biotechnology,21.41M,Healthcare
BNTX,BioNTech SE,Biotechnology,62.52B,Healthcare
BOAC,Bluescape Opportunities Acquisition,Blank Check / SPAC,743.43M,SPAC
BOAS,BOA Acquisition,Blank Check / SPAC,282.61M,SPAC
BODY,The Beachbody Company,Internet Content & Information,733.44M,Information Technology
BOH,Bank of Hawaii,Banks,3.37B,Financials
BOKF,BOK Financial,Banks,7.24B,Financials
BOLT,Bolt Biotherapeutics,Biotechnology,182.69M,Healthcare
BOMN,Boston Omaha,Media,851.83M,Communication
BON,Bon Natural Life,Packaged Foods,37.07M,Discretionary
BOOM,DMC Global,Energy Equipment & Services,763.52M,Energy
BOOT,Boot Barn Holdings,Specialty Retail,3.64B,Discretionary
BORR,Borr Drilling,Oil & Gas Drilling,292.04M,Energy
BOSC,BOS Better Online Solutions,Communications Equipment,15.37M,Industrial
BOTJ,Bank of the James Financial Group,Banks,73.29M,Financials
BOWL,Bowlero,Entertainment,53.32M,Communication
BOX,"Box, Inc.",Software,3.88B,Information Technology
BOXD,Boxed,Internet Retail,443.11M,Information Technology
BOXL,Boxlight,"Technology Hardware, Storage & Periph...",85.64M,Information Technology
BP,BP plc,"Oil, Gas & Consumable Fuels",87.92B,Energy
BPMC,Blueprint Medicines,Biotechnology,6.30B,Healthcare
BPMP,BP Midstream Partners LP,"Oil, Gas & Consumable Fuels",1.60B,Energy
BPOP,Popular,Banks,6.55B,Financials
BPRN,The Bank of Princeton,Banks,192.94M,Financials
BPT,BP Prudhoe Bay Royalty Trust,"Oil, Gas & Consumable Fuels",84.10M,Energy
BPTH,Bio-Path Holdings,Biotechnology,26.99M,Healthcare
BPTS,Biophytis,Biotechnology,72.29M,Healthcare
BQ,Boqii Holding,Specialty Retail,79.55M,Discretionary
BR,Broadridge Financial Solutions,IT Services,21.31B,Information Technology
BRAG,Bragg Gaming Group,Electronic Gaming & Multimedia,100.48M,Discretionary
BRBR,Bellring Brands,Personal Products,1.11B,Discretionary
BRBS,Blue Ridge Bankshares,Banks,336.07M,Financials
BRC,Brady,Commercial Services & Supplies,2.79B,Industrial
BRCN,Burcon NutraScience,Packaged Foods,130.39M,Discretionary
BRDG,Bridge Investment Group Holdings,REIT-Diversified,628.31M,Real Estate
BRDS,Bird Global,Rental & Leasing Services,1.69B,Discretionary
BREZ,Breeze Holdings Acquisition,Blank Check / SPAC,149.47M,SPAC
BRFS,BRF S.A.,Food Products,3.30B,Staples
BRG,Bluerock Residential Growth REIT,Equity Real Estate Investment Trusts...,727.56M,Real Estate
BRID,Bridgford Foods,Food Products,109.92M,Staples
BRIV,B. Riley Principal 250 Merger,Blank Check / SPAC,215.86M,SPAC
BRK.A,Berkshire Hathaway,Diversified Financial Services,669.12B,Financials
BRK.B,Berkshire Hathaway,Diversified Financial Services,669.12B,Financials
BRKL,Brookline Bancorp,Banks,1.26B,Financials
BRKR,Bruker,Life Sciences Tools & Services,12.73B,Healthcare
BRLI,Brilliant Acquisition,Blank Check / SPAC,62.33M,SPAC
BRLT,Brilliant Earth Group,Luxury Goods,173.07M,Discretionary
BRMK,Broadmark Realty Capital,Mortgage Real Estate Investment Trus...,1.25B,Real Estate
BRN,Barnwell Industries,"Oil, Gas & Consumable Fuels",27.49M,Energy
BRO,Brown & Brown,Insurance,19.85B,Financials
BROG,Brooge Energy,"Oil, Gas & Consumable Fuels",1.01B,Energy
BROS,Dutch Bros,Restaurants,8.33B,Discretionary
BRP,BRP Group,Insurance,4.05B,Financials
BRPM,B. Riley Principal 150 Merger,Blank Check / SPAC,223.47M,SPAC
BRQS,Borqs Technologies,"Technology Hardware, Storage & Periph...",60.03M,Information Technology
BRSP,BrightSpire Capital,REIT-Diversified,1.33B,Real Estate
BRT,BRT Apartments,Equity Real Estate Investment Trusts...,437.49M,Real Estate
BRTX,BioRestorative Therapies,Biotechnology,15.16M,Healthcare
BRX,Brixmor Property Group,Equity Real Estate Investment Trusts...,7.55B,Real Estate
BRY,Berry,"Oil, Gas & Consumable Fuels",673.66M,Energy
BRZE,Braze,Software-Application,7.11B,Information Technology
BSAC,Banco Santander-Chile,Banks,7.67B,Financials
BSAQ,Black Spade Acquisition Co.,Blank Check / SPAC,181.69M,SPAC
BSBK,Bogota Financial,Thrifts & Mortgage Finance,148.95M,Financials
BSBR,Banco Santander Brasil,Banks,40.10B,Financials
BSET,Bassett Furniture Industries,Household Durables,163.61M,Discretionary
BSFC,Blue Star Foods,Packaged Foods,40.06M,Discretionary
BSGA,Blue Safari Group Acquisition,Blank Check / SPAC,75.07M,SPAC
BSGM,BioSig Technologies,Health Care Equipment & Supplies,78.74M,Healthcare
BSIG,BrightSphere Investment Group,Capital Markets,1.14B,Financials
BSKY,Big Sky Growth Partners,Blank Check / SPAC,364.12M,SPAC
BSM,Black Stone Minerals,"Oil, Gas & Consumable Fuels",2.16B,Energy
BSMX,Banco Santander Mexico,Banks,8.72B,Financials
BSQR,Bsquare,Software,34.81M,Information Technology
BSRR,Sierra Bancorp,Banks,418.40M,Financials
BSVN,Bank7,Banks,208.64M,Financials
BSX,Boston Scientific,Health Care Equipment & Supplies,60.53B,Healthcare
BSY,Bentley Systems,Software-Application,13.65B,Information Technology
BTAI,BioXcel Therapeutics,Biotechnology,568.84M,Healthcare
BTAQ,Burgundy Technology Acquisition,Blank Check / SPAC,442.32M,SPAC
BTB,Bit Brother,Restaurants,28.38M,Discretionary
BTBD,BT Brands,Restaurants,19.04M,Discretionary
BTBT,Bit Digital,Software,421.75M,Information Technology
BTCM,BIT Mining,Information Technology Services,433.73M,Information Technology
BTCS,BTCS Inc.,Capital Markets,32.26M,Financials
BTCY,Biotricity,Medical Devices,195.53M,Healthcare
BTG,B2Gold,Metals & Mining,4.15B,Materials
BTI,British American Tobacco,Tobacco,85.84B,Discretionary
BTN,Ballantyne Strong,Entertainment,53.39M,Communication
BTNB,Bridgetown 2 Holdings,Blank Check / SPAC,370.39M,SPAC
BTRS,BTRS Holdings,Software-Application,1.28B,Information Technology
BTTR,Better Choice Company,Packaged Foods,94.45M,Discretionary
BTTX,Better Therapeutics,Biotechnology,109.74M,Healthcare
BTU,Peabody Energy,"Oil, Gas & Consumable Fuels",1.29B,Energy
BTWN,Bridgetown Holdings,Blank Check / SPAC,730.35M,SPAC
BTX,Brooklyn ImmunoTherapeutics,Biotechnology,217.02M,Healthcare
BUD,Anheuser-Busch InBev,Beverages,105.18B,Discretionary
BUR,Burford Capital,Asset Management,2.31B,Financials
BURL,Burlington Stores,Specialty Retail,19.46B,Discretionary
BUSE,First Busey,Banks,1.51B,Financials
BV,BrightView Holdings,Commercial Services & Supplies,1.48B,Industrial
BVH,Bluegreen Vacations Holding,"Hotels, Restaurants & Leisure",735.92M,Discretionary
BVN,Compania de Minas Buenaventura SAA,Metals & Mining,1.86B,Materials
BVS,Bioventus,Diagnostics & Research,861.26M,Healthcare
BVXV,BiondVax Pharmaceuticals,Pharmaceuticals,43.42M,Healthcare
BW,Babcock & Wilcox Enterprises,Electrical Equipment,778.07M,Industrial
BWA,BorgWarner,Auto Components,10.81B,Industrial
BWAC,Better World Acquisition,Blank Check / SPAC,163.79M,SPAC
BWAY,Brainsway,Health Care Equipment & Supplies,127.52M,Healthcare
BWB,Bridgewater Bancshares,Thrifts & Mortgage Finance,496.50M,Financials
BWC,Blue Whale Acquisition I,Blank Check / SPAC,296.70M,SPAC
BWEN,Broadwind,Electrical Equipment,36.63M,Industrial
BWFG,Bankwell Financial Group,Banks,257.56M,Financials
BWMN,Bowman Consulting Group,Consulting Services,240.31M,Communication
BWMX,Betterware de Mexico,Internet & Direct Marketing Retail,766.82M,Information Technology
BWXT,BWX Technologies,Aerospace & Defense,4.41B,Industrial
BX,Blackstone,Capital Markets,91.98B,Financials
BXC,BlueLinx Holdings,Trading Companies & Distributors,929.51M,Industrials
BXMT,Blackstone Mortgage Trust,Mortgage Real Estate Investment Trus...,5.13B,Real Estate
BXP,Boston Properties,Equity Real Estate Investment Trusts...,17.99B,Real Estate
BXRX,Baudax Bio,Biotechnology,18.54M,Healthcare
BY,Byline Bancorp,Banks,1.03B,Financials
BYD,Boyd Gaming,"Hotels, Restaurants & Leisure",7.37B,Discretionary
BYFC,Broadway Financial,Thrifts & Mortgage Finance,165.78M,Financials
BYND,Beyond Meat,Food Products,4.13B,Staples
BYRN,Byrna Technologies,Aerospace & Defense,315.25M,Industrial
BYSI,BeyondSpring,Biotechnology,177.31M,Healthcare
BYTS,BYTE Acquisition,Blank Check / SPAC,406.20M,SPAC
BZ,Kanzhun,Staffing & Employment Services,14.27B,Discretionary
BZFD,BuzzFeed,Entertainment,323.10M,Communication
BZH,Beazer Homes USA,Household Durables,730.49M,Discretionary
BZUN,Baozun,Internet & Direct Marketing Retail,1.01B,Information Technology
C,Citigroup,Banks,119.83B,Financials
CAAP,Corporacion America Airports,Transportation Infrastructure,926.73M,Industrials
CAAS,China Automotive Systems,Auto Components,82.68M,Industrial
CABA,Cabaletta Bio,Biotechnology,107.38M,Healthcare
CABO,Cable One,Media,10.66B,Communication
CAC,Camden National,Banks,715.14M,Financials
CACC,Credit Acceptance,Consumer Finance,10.00B,Financials
CACI,CACI International,IT Services,6.28B,Information Technology
CADE,Cadence Bank,Banks,5.74B,Financials
CADL,Candel Therapeutics,Biotechnology,224.35M,Healthcare
CAE,CAE Inc.,Aerospace & Defense,8.00B,Industrial
CAG,Conagra Brands,Food Products,16.38B,Staples
CAH,Cardinal Health,Health Care Providers & Services,14.51B,Healthcare
CAJ,Canon,"Technology Hardware, Storage & Periph...",25.55B,Information Technology
CAKE,The Cheesecake Factory,"Hotels, Restaurants & Leisure",2.04B,Discretionary
CAL,Caleres,Specialty Retail,863.88M,Discretionary
CALA,Calithera Biosciences,Biotechnology,49.84M,Healthcare
CALB,California BanCorp,Banks,175.17M,Financials
CALM,Cal-Maine Foods,Food Products,1.81B,Staples
CALT,Calliditas Therapeutics AB,Biotechnology,653.94M,Healthcare
CALX,Calix,Communications Equipment,5.10B,Industrial
CAMP,CalAmp,Communications Equipment,253.48M,Industrial
CAMT,Camtek,Semiconductors & Semiconductor Equipment,2.02B,Information Technology
CAN,Canaan,"Technology Hardware, Storage & Periph...",883.95M,Information Technology
CANF,Can-Fite BioPharma,Biotechnology,28.36M,Healthcare
CANG,Cango,Internet & Direct Marketing Retail,458.30M,Information Technology
CANO,Cano Health,Diversified Financial Services,1.61B,Financials
CAPL,CrossAmerica Partners LP,"Oil, Gas & Consumable Fuels",722.22M,Energy
CAPR,Capricor Therapeutics,Biotechnology,70.76M,Healthcare
CAR,Avis Budget Group,Road & Rail,11.71B,Industrials
CARA,Cara Therapeutics,Pharmaceuticals,651.13M,Healthcare
CARE,Carter Bankshares,Banks,407.24M,Financials
CARG,Cargurus,Interactive Media & Services,3.96B,Information Technology
CARR,Carrier Global,Building Products,47.00B,Industrial
CARS,Cars.com,Interactive Media & Services,1.11B,Information Technology
CARV,Carver Bancorp,Thrifts & Mortgage Finance,29.89M,Financials
CAS,Cascade Acquisition,Blank Check / SPAC,285.77M,SPAC
CASA,Casa Systems,Communications Equipment,487.66M,Industrial
CASH,Meta Financial Group,Thrifts & Mortgage Finance,1.82B,Financials
CASI,CASI Pharmaceuticals,Biotechnology,111.84M,Healthcare
CASS,Cass Information Systems,IT Services,550.88M,Information Technology
CASY,Casey's General Stores,Food & Staples Retailing,7.32B,Staples
CAT,Caterpillar,Machinery,111.83B,Industrials
CATC,Cambridge Bancorp,Banks,651.83M,Financials
CATO,The Cato Corporation,Specialty Retail,377.95M,Discretionary
CATY,Cathay General Bancorp,Banks,3.32B,Financials
CB,Chubb,Insurance,83.27B,Financials
CBAN,Colony Bankcorp,Banks,233.42M,Financials
CBAT,CBAK Energy Technology,Electrical Equipment,138.38M,Industrial
CBAY,CymaBay Therapeutics,Pharmaceuticals,286.18M,Healthcare
CBD,Companhia Brasileira de Distribuicao,Food & Staples Retailing,1.07B,Staples
CBFV,CB Financial Services,Banks,127.16M,Financials
CBIO,Catalyst Biosciences,Biotechnology,28.71M,Healthcare
CBL,CBL Properties,Equity Real Estate Investment Trusts...,6.13B,Real Estate
CBNK,Capital Bancorp,Banks,363.35M,Financials
CBOE,Cboe Global Markets,Capital Markets,13.91B,Financials
CBRE,CBRE Group,Real Estate Management & Development,36.31B,Real Estate
CBRL,Cracker Barrel Old Country Store,"Hotels, Restaurants & Leisure",3.03B,Discretionary
CBSH,Commerce Bancshares,Banks,8.38B,Financials
CBT,Cabot,Chemicals,3.19B,Materials
CBTX,"CBTX, Inc.",Banks,712.80M,Financials
CBU,Community Bank System,Banks,4.02B,Financials
CBZ,"CBIZ, Inc.",Professional Services,2.04B,Services
CC,The Chemours Company,Chemicals,5.47B,Materials
CCAC,CITIC Capital Acquisition,Blank Check / SPAC,345.34M,SPAC
CCAI,Cascadia Acquisition,Blank Check / SPAC,182.44M,SPAC
CCAP,Crescent Capital BDC,Asset Management,583.75M,Financials
CCB,Coastal Financial,Banks,651.40M,Financials
CCBG,Capital City Bank Group,Banks,445.59M,Financials
CCCC,C4 Therapeutics,Biotechnology,1.57B,Healthcare
CCCS,CCC Intelligent Solutions Holdings,Software-Infrastructure,6.88B,Information Technology
CCEL,Cryo-Cell International,Health Care Providers & Services,98.94M,Healthcare
CCEP,Coca-Cola Europacific Partners,Beverages,25.65B,Discretionary
CCF,Chase,Chemicals,941.81M,Materials
CCI,Crown Castle International,Equity Real Estate Investment Trusts...,90.22B,Real Estate
CCJ,Cameco,"Oil, Gas & Consumable Fuels",8.68B,Energy
CCK,Crown Holdings,Containers & Packaging,14.14B,Materials
CCL,Carnival,"Hotels, Restaurants & Leisure",23.46B,Discretionary
CCLP,CSI Compressco LP,Energy Equipment & Services,167.06M,Energy
CCM,Concord Medical Services Holding,Health Care Providers & Services,86.83M,Healthcare
CCMP,CMC Materials,Semiconductors & Semiconductor Equipment,5.45B,Information Technology
CCNC,Code Chain New Continent,Coking Coal,49.30M,Materials
CCNE,CNB Financial,Banks,447.65M,Financials
CCO,Clear Channel Outdoor Holdings,Media,1.56B,Communication
CCOI,Cogent Communications Holdings,Diversified Telecommunication Services,3.49B,Communication
CCRD,CoreCard,Software,0,Information Technology
CCRN,Cross Country Healthcare,Health Care Providers & Services,1.05B,Healthcare
CCS,Century Communities,Household Durables,2.76B,Discretionary
CCSI,Consensus Cloud Solutions,Software-Infrastructure,1.15B,Information Technology
CCU,"Compania Cervecerias Unidas,",Beverages,3.03B,Discretionary
CCV,Churchill Capital Corp V,Blank Check / SPAC,615.00M,SPAC
CCVI,Churchill Capital VI,Blank Check / SPAC,674.82M,SPAC
CCXI,ChemoCentryx,Biotechnology,2.55B,Healthcare
CD,Chindata Group Holdings,Information Technology Services,2.39B,Information Technology
CDAK,Codiak BioSciences,Biotechnology,249.16M,Healthcare
CDAQ,Compass Digital Acquisition,Blank Check / SPAC,240.50M,SPAC
CDAY,Ceridian HCM Holding,Software,15.81B,Information Technology
CDE,Coeur Mining,Metals & Mining,1.30B,Materials
CDEV,Centennial Resource Development,"Oil, Gas & Consumable Fuels",1.70B,Energy
CDK,CDK Global,Software,4.94B,Information Technology
CDLX,Cardlytics,Media,2.20B,Communication
CDMO,Avid Bioservices,Biotechnology,1.80B,Healthcare
CDNA,CareDx,Biotechnology,2.40B,Healthcare
CDNS,Cadence Design Systems,Software,51.65B,Information Technology
CDOR,Condor Hospitality Trust,Equity Real Estate Investment Trusts...,117.04M,Real Estate
CDR,Cedar Realty Trust,Equity Real Estate Investment Trusts...,343.02M,Real Estate
CDRE,Cadre Holdings,Aerospace & Defense,851.15M,Industrial
CDRO,Codere Online Luxembourg,Gambling,96.29M,Discretionary
CDTX,Cidara Therapeutics,Biotechnology,84.69M,Healthcare
CDW,CDW Corporation,"Electronic Equipment, Instruments & C...",27.79B,Industrial
CDXC,ChromaDex,Life Sciences Tools & Services,255.41M,Healthcare
CDXS,Codexis,Life Sciences Tools & Services,2.03B,Healthcare
CDZI,Cadiz,Water Utilities,168.51M,Utilities
CE,Celanese,Chemicals,18.30B,Materials
CEA,China Eastern Airlines,Airlines,13.06B,Industrial
CECE,CECO Environmental,Commercial Services & Supplies,223.09M,Industrial
CEI,Camber Energy,"Oil, Gas & Consumable Fuels",212.50M,Energy
CEIX,CONSOL Energy,"Oil, Gas & Consumable Fuels",783.05M,Energy
CELC,Celcuity,Biotechnology,196.78M,Healthcare
CELH,Celsius Holdings,Beverages,5.58B,Discretionary
CELP,Cypress Environmental Partners,Energy Equipment & Services,13.83M,Energy
CELU,Celularity,Biotechnology,632.14M,Healthcare
CELZ,Creative Medical Technology Holdings,Biotechnology,13.98M,Healthcare
CEMI,Chembio Diagnostics,Health Care Equipment & Supplies,34.25M,Healthcare
CENQ,CENAQ Energy,Blank Check / SPAC,215.78M,SPAC
CENT,Central Garden & Pet Company,Household Products,2.70B,Discretionary
CENTA,Central Garden & Pet Company,Household Products,2.70B,Discretionary
CENX,Century Aluminum Company,Metals & Mining,1.49B,Materials
CEPU,Central Puerto,Independent Power and Renewable Elect...,472.63M,Energy
CEQP,Crestwood Equity Partners LP,"Oil, Gas & Consumable Fuels",1.74B,Energy
CERE,Cerevel Therapeutics Holdings,Biotechnology,4.77B,Healthcare
CERN,Cerner,Health Care Technology,27.14B,Healthcare
CERS,Cerus,Health Care Equipment & Supplies,1.17B,Healthcare
CERT,Certara,Biotechnology,4.54B,Healthcare
CET,Central Securities,Asset Management,1.17B,Financials
CETX,Cemtrex,"Electronic Equipment, Instruments & C...",17.04M,Industrial
CEVA,"CEVA, Inc.",Semiconductors & Semiconductor Equipment,993.39M,Information Technology
CF,CF Industries Holdings,Chemicals,15.18B,Materials
CFB,CrossFirst Bankshares,Banks,794.84M,Financials
CFBK,CF Bankshares,Thrifts & Mortgage Finance,135.05M,Financials
CFFE,CF Acquisition VIII,Blank Check / SPAC,317.26M,SPAC
CFFI,C&F Financial,Banks,181.15M,Financials
CFFN,Capitol Federal Financial,Thrifts & Mortgage Finance,1.57B,Financials
CFG,Citizens Financial Group,Banks,20.14B,Financials
CFIV,CF Acquisition IV,Blank Check / SPAC,622.30M,SPAC
CFLT,Confluent,Software-Infrastructure,20.16B,Information Technology
CFMS,Conformis,Health Care Equipment & Supplies,141.69M,Healthcare
CFR,Cullen/Frost Bankers,Banks,8.03B,Financials
CFRX,ContraFect,Biotechnology,103.45M,Healthcare
CFV,CF Acquisition V,Blank Check / SPAC,308.94M,SPAC
CFVI,CF Acquisition VI,Blank Check / SPAC,413.71M,SPAC
CFX,Colfax,Machinery,7.12B,Industrials
CG,The Carlyle Group,Capital Markets,19.57B,Financials
CGA,China Green Agriculture,Chemicals,80.63M,Materials
CGAU,Centerra Gold,Gold,2.28B,Materials
CGBD,TCG BDC,Capital Markets,735.22M,Financials
CGC,Canopy Growth,Pharmaceuticals,3.44B,Healthcare
CGEM,Cullinan Oncology,Biotechnology,674.05M,Healthcare
CGEN,Compugen,Life Sciences Tools & Services,360.85M,Healthcare
CGNT,Cognyte Software,Software-Infrastructure,1.05B,Information Technology
CGNX,Cognex,"Electronic Equipment, Instruments & C...",13.75B,Industrial
CGRN,Capstone Green Energy,Specialty Industrial Machinery,50.56M,Industrials
CGTX,Cognition Therapeutics,Biotechnology,139.27M,Healthcare
CHAA,Catcha Investment,Blank Check / SPAC,366.38M,SPAC
CHCI,Comstock Holding Companies,Household Durables,40.36M,Discretionary
CHCO,City Holding Company,Banks,1.24B,Financials
CHCT,Community Healthcare Trust,Equity Real Estate Investment Trusts...,1.18B,Real Estate
CHD,Church & Dwight Company,Household Products,25.62B,Discretionary
CHDN,Churchill Downs,"Hotels, Restaurants & Leisure",9.21B,Discretionary
CHE,Chemed,Health Care Providers & Services,8.14B,Healthcare
CHEF,The Chefs' Warehouse,Food & Staples Retailing,1.26B,Staples
CHEK,Check-Cap,Health Care Equipment & Supplies,65.04M,Healthcare
CHGG,Chegg,Diversified Consumer Services,4.45B,Discretionary
CHH,Choice Hotels International,"Hotels, Restaurants & Leisure",8.68B,Discretionary
CHK,Chesapeake Energy,"Oil, Gas & Consumable Fuels",7.56B,Energy
CHKP,Check Point Software Technologies,Software,15.48B,Information Technology
CHMG,Chemung Financial,Banks,216.65M,Financials
